Date,Revenue,Type
2019-03-13,49298.05,Actual
2021-08-19,18541.08,Actual
2021-08-08,14362.94,Actual
2021-12-28,22134.74,Actual
2022-04-18,3485.44,Actual
2021-04-05,13846.12,Actual
2019-12-04,31236.77,Actual
2023-06-14,40544.54,Actual
2023-09-30,45706.34,Actual
2022-05-06,3718.28,Actual
2023-06-23,6704.71,Actual
2020-03-15,3002.3,Actual
2023-12-23,10929.33,Actual
2019-12-16,34572.32,Actual
2022-03-05,36478.13,Actual
2019-04-30,26759.07,Actual
2022-09-19,38898.03,Actual
2023-03-31,36644.28,Actual
2021-07-21,25950.92,Actual
2021-09-01,14299.23,Actual
2022-12-01,6626.91,Actual
2021-11-15,38323.71,Actual
2023-11-27,26844.64,Actual
2023-03-03,697.12,Actual
2021-11-17,39346.38,Actual
2020-01-19,44190.67,Actual
2023-07-16,11761.16,Actual
2022-10-20,35444.41,Actual
2020-04-05,24067.34,Actual
2019-06-08,793.12,Actual
2022-07-11,5664.79,Actual
2020-12-29,26376.62,Actual
2020-04-20,19880.0,Actual
2023-12-16,1693.77,Actual
2022-12-18,35934.0,Actual
2019-04-25,15212.98,Actual
2023-11-30,26067.1,Actual
2021-09-16,15616.44,Actual
2020-11-14,14652.53,Actual
2022-11-14,43133.85,Actual
2023-10-12,21086.8,Actual
2021-12-17,2435.15,Actual
2022-11-04,10798.16,Actual
2020-09-14,24579.38,Actual
2022-04-02,38746.73,Actual
2023-10-25,45799.71,Actual
2020-06-11,35224.11,Actual
2022-08-05,21031.68,Actual
2020-02-10,7574.82,Actual
2019-09-24,16517.9,Actual
2023-07-20,33455.09,Actual
2020-12-18,32844.8,Actual
2023-12-11,33973.99,Actual
2023-07-05,46639.02,Actual
2019-08-05,28889.83,Actual
2022-09-24,23167.07,Actual
2021-08-09,42925.93,Actual
2019-02-08,30630.46,Actual
2021-07-22,41485.32,Actual
2019-10-19,39234.01,Actual
2019-07-16,48153.69,Actual
2023-09-13,28702.64,Actual
2022-01-25,32942.88,Actual
2023-04-02,42920.24,Actual
2023-06-26,32378.72,Actual
2020-04-06,7026.46,Actual
2020-04-20,189.51,Actual
2020-01-21,29498.79,Actual
2020-01-06,43763.64,Actual
2021-07-08,28080.71,Actual
2020-03-19,37165.6,Actual
2023-12-22,9054.2,Actual
2019-07-18,24201.45,Actual
2019-11-08,35291.23,Actual
2022-07-02,6471.2,Actual
2020-02-07,9454.12,Actual
2021-04-07,24400.67,Actual
2022-03-24,14390.51,Actual
2022-05-18,2302.97,Actual
2021-04-16,49201.78,Actual
2019-05-28,10331.5,Actual
2019-12-05,26930.85,Actual
2019-12-24,17201.66,Actual
2020-12-21,14891.57,Actual
2021-04-28,18543.66,Actual
2022-04-15,40605.58,Actual
2019-01-09,1919.39,Actual
2022-10-17,26047.11,Actual
2022-11-24,32278.59,Actual
2019-02-24,36785.5,Actual
2023-06-30,36436.9,Actual
2019-02-19,37866.82,Actual
2020-07-31,37390.63,Actual
2021-09-15,21275.13,Actual
2021-12-09,14971.65,Actual
2020-07-08,11013.05,Actual
2021-11-06,30336.31,Actual
2022-10-04,37770.09,Actual
2020-04-01,44988.87,Actual
2019-01-28,34227.12,Actual
2019-10-16,44830.29,Actual
2023-08-11,33501.11,Actual
2023-03-19,8040.66,Actual
2021-04-09,7410.53,Actual
2022-10-09,15340.33,Actual
2019-07-03,49187.75,Actual
2019-10-29,41845.8,Actual
2021-09-30,42276.88,Actual
2019-07-23,13581.42,Actual
2019-06-07,20895.23,Actual
2023-05-15,11775.25,Actual
2021-05-27,8874.03,Actual
2023-11-02,24268.74,Actual
2023-07-20,25130.86,Actual
2021-02-10,33470.47,Actual
2022-10-09,30716.09,Actual
2019-04-13,25077.61,Actual
2021-04-27,22860.48,Actual
2023-10-29,18568.17,Actual
2020-11-11,16486.59,Actual
2023-12-01,49768.02,Actual
2023-08-16,13971.1,Actual
2019-11-07,11485.17,Actual
2022-12-14,45625.45,Actual
2023-08-04,6980.6,Actual
2022-08-13,28654.44,Actual
2019-09-14,2230.96,Actual
2021-11-05,15755.97,Actual
2019-02-12,39588.44,Actual
2019-07-29,28301.22,Actual
2019-03-16,1610.16,Actual
2022-11-13,14605.59,Actual
2023-07-30,36288.87,Actual
2023-06-06,25101.93,Actual
2019-04-10,26411.48,Actual
2021-01-12,38616.05,Actual
2019-07-03,36747.22,Actual
2023-09-24,44042.1,Actual
2020-02-27,38350.58,Actual
2022-01-09,40174.06,Actual
2021-06-08,31696.91,Actual
2023-11-10,12531.13,Actual
2019-01-22,6960.85,Actual
2022-09-20,18661.81,Actual
2023-08-01,35951.88,Actual
2021-10-03,27456.28,Actual
2019-10-01,43049.37,Actual
2021-04-08,2703.76,Actual
2020-04-21,7178.62,Actual
2021-08-16,32562.21,Actual
2020-10-23,17289.46,Actual
2021-03-31,49172.95,Actual
2021-03-09,11023.22,Actual
2021-08-12,3252.82,Actual
2020-01-05,42717.41,Actual
2019-05-03,16669.9,Actual
2020-10-14,38860.02,Actual
2019-03-06,11385.32,Actual
2020-04-22,2193.01,Actual
2023-06-03,8920.71,Actual
2020-03-08,13352.44,Actual
2021-05-24,28310.89,Actual
2022-01-11,29290.24,Actual
2021-09-17,17677.34,Actual
2020-11-05,47938.03,Actual
2020-12-02,43980.6,Actual
2020-01-28,14947.03,Actual
2021-08-09,37531.22,Actual
2023-07-13,25907.71,Actual
2021-09-26,25231.68,Actual
2021-10-11,31160.53,Actual
2023-10-27,5337.81,Actual
2023-12-01,32041.19,Actual
2020-11-14,46777.19,Actual
2020-10-26,22279.35,Actual
2022-05-18,3018.6,Actual
2022-01-14,14307.36,Actual
2020-01-14,13929.2,Actual
2021-09-09,3058.08,Actual
2021-08-31,15101.1,Actual
2021-10-01,36254.27,Actual
2023-05-06,37653.51,Actual
2019-06-28,2575.21,Actual
2021-08-22,22268.19,Actual
2023-02-20,23133.71,Actual
2023-08-25,814.7,Actual
2019-08-17,363.59,Actual
2022-02-09,13357.43,Actual
2021-02-07,29973.52,Actual
2020-05-23,24154.01,Actual
2020-03-14,261.37,Actual
2023-05-08,41865.86,Actual
2023-05-14,49048.02,Actual
2022-06-28,43928.51,Actual
2019-08-13,2278.73,Actual
2019-07-12,43620.36,Actual
2023-02-09,17899.42,Actual
2019-05-10,4574.18,Actual
2022-05-31,16218.23,Actual
2019-06-22,28355.86,Actual
2022-06-06,7642.91,Actual
2021-09-04,10298.55,Actual
2022-03-18,17961.43,Actual
2019-12-09,16162.29,Actual
2023-04-16,5912.95,Actual
2021-02-01,14051.21,Actual
2022-12-16,38831.31,Actual
2023-04-16,37180.16,Actual
2020-01-04,21764.22,Actual
2019-10-03,36110.57,Actual
2020-12-26,38856.1,Actual
2023-10-22,47978.58,Actual
2019-11-29,12921.03,Actual
2020-03-25,23236.18,Actual
2021-08-19,49088.14,Actual
2022-08-07,8343.8,Actual
2019-08-19,47308.32,Actual
2023-06-03,29431.29,Actual
2022-10-02,47007.32,Actual
2019-09-02,8000.42,Actual
2020-03-16,28609.49,Actual
2021-12-04,31083.77,Actual
2019-11-03,24759.2,Actual
2020-10-19,49525.45,Actual
2020-10-20,19011.56,Actual
2021-03-27,16379.86,Actual
2022-01-18,40973.5,Actual
2019-12-29,20704.97,Actual
2020-02-12,28720.03,Actual
2022-08-12,8568.0,Actual
2020-12-12,47862.97,Actual
2023-08-29,18166.53,Actual
2019-09-28,46946.6,Actual
2023-01-23,20852.08,Actual
2023-10-17,49195.79,Actual
2019-09-01,44994.1,Actual
2021-02-26,31364.36,Actual
2022-09-01,247.9,Actual
2023-04-04,7277.82,Actual
2019-02-26,6631.04,Actual
2020-09-15,22316.85,Actual
2020-05-27,20346.4,Actual
2022-01-28,28580.57,Actual
2021-07-01,31957.99,Actual
2022-01-11,20513.32,Actual
2021-10-09,19978.61,Actual
2020-12-24,34131.65,Actual
2020-05-01,22654.46,Actual
2019-08-12,10838.19,Actual
2019-02-12,6935.1,Actual
2021-02-06,371.72,Actual
2021-11-06,32595.39,Actual
2020-11-05,20801.68,Actual
2019-08-30,23280.38,Actual
2021-10-08,32911.29,Actual
2019-07-14,8955.05,Actual
2019-12-07,43044.02,Actual
2023-02-10,32081.74,Actual
2020-08-13,41129.82,Actual
2022-11-26,44082.7,Actual
2021-07-07,13492.83,Actual
2021-06-07,47006.35,Actual
2019-05-19,5978.59,Actual
2021-06-20,22189.84,Actual
2021-02-11,10107.45,Actual
2023-12-15,17551.16,Actual
2020-01-31,32189.62,Actual
2023-02-26,36126.61,Actual
2020-12-17,34061.32,Actual
2019-10-30,15500.73,Actual
2019-07-10,34329.8,Actual
2019-05-12,37201.18,Actual
2023-08-07,38276.14,Actual
2020-08-19,8889.84,Actual
2019-05-21,31267.18,Actual
2021-04-11,32843.81,Actual
2020-12-31,11528.01,Actual
2020-06-07,26457.12,Actual
2019-08-25,1352.14,Actual
2021-07-08,22101.79,Actual
2019-06-28,7737.4,Actual
2021-01-22,20515.9,Actual
2019-01-29,47423.71,Actual
2023-07-15,41107.77,Actual
2020-12-10,34014.9,Actual
2022-11-02,27627.97,Actual
2020-01-09,47534.31,Actual
2023-06-15,32249.38,Actual
2019-06-24,31819.93,Actual
2019-01-07,13626.7,Actual
2019-07-06,26800.38,Actual
2019-06-07,40185.03,Actual
2023-03-22,40751.93,Actual
2021-10-17,45747.31,Actual
2021-09-29,39062.68,Actual
2021-12-30,45588.46,Actual
2021-12-22,45499.1,Actual
2020-12-02,41413.93,Actual
2020-11-19,45107.54,Actual
2022-10-23,34039.0,Actual
2020-11-01,40590.09,Actual
2019-12-10,18374.67,Actual
2022-05-24,42313.3,Actual
2021-04-23,19270.5,Actual
2021-01-28,5583.78,Actual
2022-02-23,11246.49,Actual
2021-06-21,7283.12,Actual
2021-10-20,34030.59,Actual
2019-12-31,436.49,Actual
2023-04-17,22889.27,Actual
2020-10-13,27350.98,Actual
2019-08-17,11236.35,Actual
2021-06-17,24886.4,Actual
2019-04-09,13572.54,Actual
2022-07-06,32688.4,Actual
2023-05-17,40512.57,Actual
2021-01-24,18182.79,Actual
2022-05-18,35521.71,Actual
2020-05-06,21920.03,Actual
2023-03-14,24459.41,Actual
2020-11-09,48912.9,Actual
2019-10-14,34791.37,Actual
2019-10-07,24638.86,Actual
2019-06-11,37500.03,Actual
2020-11-13,12182.79,Actual
2023-11-04,18913.59,Actual
2021-08-25,34770.67,Actual
2019-06-18,7292.02,Actual
2019-06-18,16160.18,Actual
2021-08-24,10813.4,Actual
2020-12-09,35146.37,Actual
2023-05-08,35319.81,Actual
2022-01-01,48593.35,Actual
2021-06-25,15399.26,Actual
2021-01-19,29959.31,Actual
2020-05-02,23148.87,Actual
2021-10-07,27251.76,Actual
2023-01-07,37969.77,Actual
2019-06-18,12898.59,Actual
2020-04-18,33400.3,Actual
2023-10-23,44450.73,Actual
2022-09-10,48987.73,Actual
2023-06-15,8178.71,Actual
2022-11-11,27015.61,Actual
2019-11-08,47903.21,Actual
2019-11-09,32197.57,Actual
2022-11-14,28877.16,Actual
2019-03-28,46145.51,Actual
2021-01-28,25910.66,Actual
2019-08-22,717.15,Actual
2021-06-09,13026.03,Actual
2023-08-04,6506.41,Actual
2023-05-04,3594.04,Actual
2020-02-04,46951.89,Actual
2019-08-13,4195.3,Actual
2020-02-18,23193.57,Actual
2022-07-18,10236.92,Actual
2021-03-03,20871.32,Actual
2020-05-20,8022.79,Actual
2023-07-30,30198.43,Actual
2023-07-17,42496.32,Actual
2022-04-09,2381.15,Actual
2023-11-21,18059.59,Actual
2022-07-31,35107.47,Actual
2021-02-01,7473.03,Actual
2019-11-04,10463.93,Actual
2019-04-29,32702.03,Actual
2021-02-21,17736.59,Actual
2021-04-09,29879.65,Actual
2022-05-18,7540.61,Actual
2023-12-31,29746.73,Actual
2022-10-19,7573.55,Actual
2023-10-04,25074.02,Actual
2023-10-02,13573.39,Actual
2021-02-05,26863.15,Actual
2021-06-11,32839.41,Actual
2021-01-06,19065.87,Actual
2020-07-15,39046.24,Actual
2023-03-31,25045.91,Actual
2020-04-02,10886.09,Actual
2021-09-06,43615.15,Actual
2021-09-13,14375.58,Actual
2019-06-22,7795.89,Actual
2019-07-17,18106.85,Actual
2023-11-06,2299.13,Actual
2021-10-10,45965.79,Actual
2021-12-12,19135.37,Actual
2023-07-05,3513.84,Actual
2021-09-25,10296.57,Actual
2019-07-05,29553.04,Actual
2020-10-04,30363.78,Actual
2022-04-09,31986.27,Actual
2019-10-01,13422.02,Actual
2019-10-03,9339.69,Actual
2021-06-29,9994.01,Actual
2021-04-18,40516.01,Actual
2019-12-29,35236.37,Actual
2023-04-30,33780.56,Actual
2022-09-16,32914.76,Actual
2019-12-27,17197.94,Actual
2021-03-02,28524.61,Actual
2020-07-27,40516.66,Actual
2022-05-27,765.79,Actual
2022-05-08,17987.19,Actual
2020-02-04,16107.63,Actual
2023-01-26,22264.45,Actual
2022-11-23,28894.66,Actual
2023-08-27,43509.21,Actual
2020-11-28,1925.7,Actual
2021-06-02,29910.58,Actual
2019-05-16,8264.48,Actual
2021-11-24,19219.04,Actual
2022-12-08,36793.93,Actual
2021-09-25,12481.93,Actual
2021-03-06,13808.69,Actual
2019-08-20,4368.79,Actual
2023-10-30,42563.7,Actual
2021-11-09,44754.63,Actual
2022-12-23,30508.75,Actual
2022-10-21,15281.79,Actual
2019-09-19,3845.44,Actual
2023-04-12,20957.16,Actual
2020-02-24,31755.17,Actual
2019-03-24,39412.59,Actual
2023-05-08,7514.44,Actual
2021-09-05,25716.74,Actual
2022-02-28,3580.02,Actual
2022-10-29,25896.69,Actual
2021-12-11,23746.55,Actual
2023-03-25,18556.67,Actual
2020-06-29,14309.07,Actual
2023-12-17,26748.43,Actual
2022-08-28,22957.13,Actual
2021-08-25,42643.25,Actual
2020-01-29,15781.9,Actual
2021-03-21,39393.75,Actual
2019-07-14,21512.07,Actual
2021-07-22,23691.5,Actual
2023-03-12,29449.68,Actual
2023-09-29,32612.91,Actual
2022-01-18,42279.58,Actual
2019-05-30,19223.92,Actual
2019-12-08,8440.48,Actual
2019-08-05,36525.03,Actual
2021-11-07,17269.09,Actual
2020-07-30,159.94,Actual
2023-10-26,8136.77,Actual
2021-03-16,7062.36,Actual
2022-07-02,47824.09,Actual
2020-11-13,45396.74,Actual
2022-04-14,37090.22,Actual
2022-07-24,41894.03,Actual
2019-10-03,26590.36,Actual
2023-01-04,19689.43,Actual
2019-08-29,27024.99,Actual
2020-04-13,19965.95,Actual
2019-06-26,1122.72,Actual
2019-06-28,48664.87,Actual
2023-07-04,30879.95,Actual
2019-02-02,21441.07,Actual
2020-01-24,34900.44,Actual
2021-08-20,27582.2,Actual
2020-01-26,1142.48,Actual
2019-10-09,15614.81,Actual
2020-07-04,1418.63,Actual
2023-06-08,10945.25,Actual
2023-07-31,22758.18,Actual
2020-09-15,4060.25,Actual
2023-09-21,41576.78,Actual
2022-05-16,1843.15,Actual
2023-07-29,44189.41,Actual
2019-07-09,22306.1,Actual
2021-08-22,42107.17,Actual
2021-11-23,32234.68,Actual
2021-06-08,36571.57,Actual
2023-09-13,38236.45,Actual
2020-06-09,33804.05,Actual
2023-03-21,42348.93,Actual
2020-10-25,35129.55,Actual
2022-06-12,46524.18,Actual
2021-04-27,1340.1,Actual
2020-12-09,23835.19,Actual
2020-07-15,44251.04,Actual
2020-09-12,43382.21,Actual
2019-04-04,49460.84,Actual
2021-06-07,43666.08,Actual
2019-01-15,21196.78,Actual
2019-12-20,42160.27,Actual
2023-12-16,14981.3,Actual
2023-09-12,30533.34,Actual
2021-07-15,11943.38,Actual
2022-02-10,47246.52,Actual
2023-05-04,31530.65,Actual
2023-09-22,22443.7,Actual
2023-06-26,22564.77,Actual
2022-04-18,15686.94,Actual
2020-07-06,31062.3,Actual
2021-03-15,1704.83,Actual
2020-04-01,39805.25,Actual
2021-08-27,46770.4,Actual
2021-02-26,7510.05,Actual
2023-07-30,7927.58,Actual
2019-07-07,10639.56,Actual
2022-09-07,13115.23,Actual
2019-06-17,18727.82,Actual
2019-05-21,7428.68,Actual
2019-09-14,6192.81,Actual
2019-04-24,1075.78,Actual
2022-08-17,969.31,Actual
2021-07-29,31921.3,Actual
2022-08-12,11063.72,Actual
2023-12-14,45298.61,Actual
2023-06-02,15902.06,Actual
2023-03-20,25586.31,Actual
2021-03-09,4382.41,Actual
2020-07-18,30852.89,Actual
2022-07-22,34668.12,Actual
2022-05-15,16012.02,Actual
2022-07-25,7597.34,Actual
2023-02-08,48927.55,Actual
2021-01-25,12310.59,Actual
2023-04-07,41324.79,Actual
2022-12-21,30783.6,Actual
2022-01-08,26412.98,Actual
2021-03-09,47779.8,Actual
2022-04-07,20163.27,Actual
2020-02-09,44221.15,Actual
2021-09-06,224.26,Actual
2021-05-20,27379.87,Actual
2022-10-06,45581.67,Actual
2021-08-01,21311.45,Actual
2023-09-19,20254.62,Actual
2020-08-22,39638.35,Actual
2023-06-06,13946.36,Actual
2023-09-05,44032.02,Actual
2022-02-17,30622.65,Actual
2023-01-06,11388.46,Actual
2023-08-20,7134.99,Actual
2023-06-10,28232.87,Actual
2020-05-22,24885.18,Actual
2021-10-21,7194.67,Actual
2021-03-12,36240.15,Actual
2019-11-07,33927.7,Actual
2022-08-31,40700.89,Actual
2021-06-19,46530.02,Actual
2021-11-09,27845.75,Actual
2023-09-03,2564.84,Actual
2021-06-24,15863.2,Actual
2020-07-20,11004.18,Actual
2020-08-12,46253.13,Actual
2021-11-11,16710.26,Actual
2023-09-01,38152.26,Actual
2019-06-13,35141.75,Actual
2023-12-14,11522.18,Actual
2019-01-07,48793.85,Actual
2023-04-13,30413.4,Actual
2019-01-27,30438.32,Actual
2020-04-17,45675.36,Actual
2021-04-12,44921.93,Actual
2020-05-22,12171.55,Actual
2020-02-03,17071.33,Actual
2022-11-04,12598.58,Actual
2023-10-04,40794.83,Actual
2020-04-01,18254.13,Actual
2019-05-29,23680.69,Actual
2019-11-29,30633.12,Actual
2020-10-05,31711.34,Actual
2021-10-10,24858.35,Actual
2019-11-28,48437.05,Actual
2020-05-15,32594.31,Actual
2023-06-06,34931.31,Actual
2023-02-05,42787.4,Actual
2019-08-14,36601.48,Actual
2022-04-04,47769.42,Actual
2021-06-20,44765.83,Actual
2019-01-26,39865.88,Actual
2020-05-10,12568.06,Actual
2022-07-31,10551.52,Actual
2021-03-08,23616.73,Actual
2023-12-05,19580.05,Actual
2021-12-05,13710.5,Actual
2019-03-08,5188.43,Actual
2022-01-24,31862.39,Actual
2020-07-08,15974.28,Actual
2022-01-13,21040.25,Actual
2021-05-15,18606.32,Actual
2020-12-29,13051.69,Actual
2019-02-26,26936.16,Actual
2022-05-31,36967.92,Actual
2021-04-06,41102.48,Actual
2020-02-15,35576.39,Actual
2021-01-23,40739.63,Actual
2019-05-01,11475.29,Actual
2022-08-07,24732.17,Actual
2019-09-11,44406.6,Actual
2020-09-24,4633.03,Actual
2021-03-31,30129.46,Actual
2022-06-07,30838.43,Actual
2019-04-26,2622.31,Actual
2022-03-02,30048.87,Actual
2022-12-14,14056.97,Actual
2023-10-03,23426.35,Actual
2022-08-20,7091.49,Actual
2022-11-11,17775.76,Actual
2022-10-29,42894.81,Actual
2019-10-19,9616.68,Actual
2021-11-09,2158.07,Actual
2023-08-24,37025.3,Actual
2020-12-25,43948.78,Actual
2021-09-13,33023.27,Actual
2021-03-15,41381.57,Actual
2022-03-30,23151.62,Actual
2020-09-13,25473.67,Actual
2020-08-03,35687.36,Actual
2023-08-18,23429.66,Actual
2022-05-18,47374.3,Actual
2020-10-29,35667.13,Actual
2021-03-24,3849.62,Actual
2021-08-06,29511.4,Actual
2019-09-30,22830.24,Actual
2022-02-20,46823.13,Actual
2022-09-02,5749.9,Actual
2019-11-30,39517.48,Actual
2022-08-03,44693.63,Actual
2022-01-23,5016.66,Actual
2022-08-17,23185.96,Actual
2020-06-08,43834.82,Actual
2021-05-31,46299.44,Actual
2023-11-28,18278.33,Actual
2022-11-09,14070.63,Actual
2020-07-26,28183.66,Actual
2019-02-19,11097.54,Actual
2019-03-11,26547.32,Actual
2020-05-22,1643.7,Actual
2020-08-04,41873.43,Actual
2023-01-07,15026.85,Actual
2022-01-25,35178.15,Actual
2019-05-14,7209.34,Actual
2019-06-09,33205.02,Actual
2019-10-21,21494.25,Actual
2021-10-16,5644.67,Actual
2023-02-12,2031.64,Actual
2023-05-19,44508.72,Actual
2023-05-19,47521.64,Actual
2021-10-04,3620.99,Actual
2020-09-23,14850.23,Actual
2021-05-25,6168.5,Actual
2023-03-06,14341.5,Actual
2022-02-25,48558.66,Actual
2021-08-03,42884.71,Actual
2019-08-31,8889.48,Actual
2021-07-26,17143.86,Actual
2023-05-03,27319.97,Actual
2021-05-01,5401.43,Actual
2021-05-16,30121.87,Actual
2019-10-02,2542.07,Actual
2020-09-26,30413.74,Actual
2023-01-20,35865.18,Actual
2021-05-08,2474.94,Actual
2021-07-18,37372.35,Actual
2020-04-20,7397.76,Actual
2023-01-19,23311.88,Actual
2023-03-14,3067.68,Actual
2020-04-30,13907.79,Actual
2023-07-03,12073.99,Actual
2021-09-26,8396.43,Actual
2019-12-11,11795.19,Actual
2022-10-06,31082.26,Actual
2023-06-08,38722.09,Actual
2019-01-07,32358.62,Actual
2019-09-03,46342.0,Actual
2021-02-23,34613.3,Actual
2019-04-13,21834.85,Actual
2019-05-08,46058.33,Actual
2022-05-27,25713.0,Actual
2021-05-14,43335.5,Actual
2021-01-20,18727.2,Actual
2023-11-22,2435.47,Actual
2023-02-20,44640.49,Actual
2021-07-15,38455.59,Actual
2019-09-05,27913.09,Actual
2019-02-04,41243.09,Actual
2022-04-06,41427.93,Actual
2022-12-16,2057.42,Actual
2019-01-01,48390.13,Actual
2021-04-17,46057.93,Actual
2023-05-05,9224.14,Actual
2023-08-06,34410.67,Actual
2023-04-04,17796.71,Actual
2019-11-10,4548.39,Actual
2023-02-12,3576.64,Actual
2021-08-31,5801.7,Actual
2021-11-09,33854.81,Actual
2019-09-06,25530.1,Actual
2022-06-02,16344.12,Actual
2021-01-20,19826.16,Actual
2021-01-08,22345.48,Actual
2022-06-19,9662.78,Actual
2019-02-20,3001.35,Actual
2021-07-22,12270.64,Actual
2022-03-16,5237.31,Actual
2023-05-23,45141.02,Actual
2020-04-14,36684.03,Actual
2021-01-08,44011.33,Actual
2021-07-05,27509.66,Actual
2019-03-29,33004.29,Actual
2020-03-01,20333.42,Actual
2022-03-21,4011.03,Actual
2021-06-30,14145.63,Actual
2020-03-31,3530.14,Actual
2020-10-23,23891.77,Actual
2022-06-20,44818.72,Actual
2019-10-26,2448.91,Actual
2023-07-02,24497.59,Actual
2020-03-25,5678.84,Actual
2020-09-21,13826.93,Actual
2021-12-23,8529.36,Actual
2021-02-18,21238.51,Actual
2019-07-19,21805.16,Actual
2020-06-05,4361.91,Actual
2022-11-19,31580.08,Actual
2021-11-22,22811.24,Actual
2022-08-24,28511.18,Actual
2020-10-04,33387.94,Actual
2023-03-15,8521.04,Actual
2019-11-27,27001.4,Actual
2022-04-16,15301.95,Actual
2023-02-20,26434.57,Actual
2023-06-23,43715.35,Actual
2023-01-14,28712.07,Actual
2021-11-12,5374.96,Actual
2019-07-19,3221.0,Actual
2023-08-29,8398.69,Actual
2019-06-02,6722.88,Actual
2020-11-12,20667.91,Actual
2022-04-27,26515.12,Actual
2020-02-26,27878.13,Actual
2020-01-16,8111.58,Actual
2021-05-09,18008.88,Actual
2021-02-27,15063.78,Actual
2023-09-01,32666.87,Actual
2020-11-22,30387.93,Actual
2020-05-28,1781.2,Actual
2019-07-15,43520.05,Actual
2020-08-31,11574.43,Actual
2023-11-10,21329.94,Actual
2020-01-18,43531.06,Actual
2021-05-02,18449.35,Actual
2023-12-08,40214.38,Actual
2019-07-15,14548.97,Actual
2023-06-27,24645.81,Actual
2023-05-18,354.62,Actual
2022-05-07,34645.93,Actual
2023-08-06,40391.69,Actual
2020-02-14,42734.57,Actual
2023-05-24,15552.56,Actual
2019-02-26,2269.68,Actual
2021-04-06,42652.12,Actual
2020-08-20,1324.43,Actual
2019-12-19,5905.96,Actual
2020-11-15,38535.1,Actual
2020-01-27,331.78,Actual
2023-08-02,4829.43,Actual
2023-02-15,41751.8,Actual
2019-11-22,31060.73,Actual
2022-05-18,47423.0,Actual
2019-11-20,44330.81,Actual
2022-05-27,7239.8,Actual
2020-11-03,13843.75,Actual
2020-11-17,37348.51,Actual
2020-11-12,45992.74,Actual
2019-10-11,37089.69,Actual
2019-03-29,28173.38,Actual
2022-08-30,19005.22,Actual
2019-03-02,48398.66,Actual
2020-04-01,4700.3,Actual
2020-12-24,21834.59,Actual
2019-10-18,12774.65,Actual
2019-05-06,523.75,Actual
2021-12-09,30423.57,Actual
2022-03-10,23999.62,Actual
2023-09-03,33968.73,Actual
2022-08-26,1797.94,Actual
2021-09-05,46861.76,Actual
2021-05-02,43805.12,Actual
2021-05-29,3334.86,Actual
