ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
03-02-2019,1315388.307,1020891.307,1536919.846,1315388.307,1315388.307,-25479.89054,-25479.89054,-25479.89054,-1693.699043,-1693.699043,-1693.699043,-23786.1915,-23786.1915,-23786.1915,0,0,0,1289908.416
04-02-2019,1315450.615,1039794.145,1585062.851,1315450.615,1315450.615,2159.312565,2159.312565,2159.312565,23730.6029,23730.6029,23730.6029,-21571.29033,-21571.29033,-21571.29033,0,0,0,1317609.927
05-02-2019,1315512.922,1020439.825,1542549.82,1315512.922,1315512.922,-28794.27723,-28794.27723,-28794.27723,-9889.707126,-9889.707126,-9889.707126,-18904.5701,-18904.5701,-18904.5701,0,0,0,1286718.645
06-02-2019,1315575.23,1025829.829,1551403.966,1315575.23,1315575.23,-13568.62442,-13568.62442,-13568.62442,2216.315886,2216.315886,2216.315886,-15784.9403,-15784.9403,-15784.9403,0,0,0,1302006.606
07-02-2019,1315637.538,1036820.722,1573789.557,1315637.538,1315637.538,-14303.36534,-14303.36534,-14303.36534,-2083.262178,-2083.262178,-2083.262178,-12220.10316,-12220.10316,-12220.10316,0,0,0,1301334.172
08-02-2019,1315699.846,1033691.801,1581009.11,1315699.846,1315699.846,-8519.088472,-8519.088472,-8519.088472,-292.1125006,-292.1125006,-292.1125006,-8226.975971,-8226.975971,-8226.975971,0,0,0,1307180.757
09-02-2019,1315762.153,1043736.094,1573102.203,1315762.153,1315762.153,-15820.00117,-15820.00117,-15820.00117,-11988.13793,-11988.13793,-11988.13793,-3831.863232,-3831.863232,-3831.863232,0,0,0,1299942.152
10-02-2019,1315824.461,1044247.479,1586840.549,1315824.461,1315824.461,-764.0682324,-764.0682324,-764.0682324,-1693.699043,-1693.699043,-1693.699043,929.630811,929.630811,929.630811,0,0,0,1315060.393
11-02-2019,1315886.769,1076746.286,1602554.162,1315886.769,1315886.769,29743.55377,29743.55377,29743.55377,23730.6029,23730.6029,23730.6029,6012.950869,6012.950869,6012.950869,0,0,0,1345630.322
12-02-2019,1315949.076,1021937.216,1597831.114,1315949.076,1315949.076,1475.486998,1475.486998,1475.486998,-9889.707126,-9889.707126,-9889.707126,11365.19412,11365.19412,11365.19412,0,0,0,1317424.563
13-02-2019,1316011.384,1060032.416,1610475.822,1316011.384,1316011.384,19142.27037,19142.27037,19142.27037,2216.315886,2216.315886,2216.315886,16925.95448,16925.95448,16925.95448,0,0,0,1335153.654
14-02-2019,1316073.692,1090014.214,1613606.019,1316073.692,1316073.692,20545.12408,20545.12408,20545.12408,-2083.262178,-2083.262178,-2083.262178,22628.38626,22628.38626,22628.38626,0,0,0,1336618.816
15-02-2019,1316136,1084306.663,1611577.894,1316136,1316136,28108.3469,28108.3469,28108.3469,-292.1125006,-292.1125006,-292.1125006,28400.4594,28400.4594,28400.4594,0,0,0,1344244.346
16-02-2019,1316198.307,1054039.698,1598118.099,1316198.307,1316198.307,22178.23474,22178.23474,22178.23474,-11988.13793,-11988.13793,-11988.13793,34166.37267,34166.37267,34166.37267,0,0,0,1338376.542
17-02-2019,1316260.615,1100527.297,1626011.313,1316260.615,1316260.615,38154.38761,38154.38761,38154.38761,-1693.699043,-1693.699043,-1693.699043,39848.08665,39848.08665,39848.08665,0,0,0,1354415.003
18-02-2019,1316322.923,1126804.318,1663823.988,1316322.923,1316322.923,69097.53774,69097.53774,69097.53774,23730.6029,23730.6029,23730.6029,45366.93484,45366.93484,45366.93484,0,0,0,1385420.46
19-02-2019,1316385.23,1095648.656,1623765.877,1316385.23,1316385.23,40755.56188,40755.56188,40755.56188,-9889.707126,-9889.707126,-9889.707126,50645.269,50645.269,50645.269,0,0,0,1357140.792
20-02-2019,1316447.538,1107008.409,1631583.64,1316447.538,1316447.538,57824.41001,57824.41001,57824.41001,2216.315886,2216.315886,2216.315886,55608.09412,55608.09412,55608.09412,0,0,0,1374271.948
21-02-2019,1316509.846,1108296.124,1655148.642,1316509.846,1316509.846,58101.38651,58101.38651,58101.38651,-2083.262178,-2083.262178,-2083.262178,60184.64868,60184.64868,60184.64868,0,0,0,1374611.232
22-02-2019,1316572.154,1117597.363,1635089.337,1316572.154,1316572.154,64017.77538,64017.77538,64017.77538,-292.1125006,-292.1125006,-292.1125006,64309.88788,64309.88788,64309.88788,0,0,0,1380589.929
23-02-2019,1316634.461,1134316.235,1650038.979,1316634.461,1316634.461,55937.69249,55937.69249,55937.69249,-11988.13793,-11988.13793,-11988.13793,67925.83042,67925.83042,67925.83042,0,0,0,1372572.154
24-02-2019,1316696.769,1120913.446,1660547.528,1316696.769,1316696.769,69289.03473,69289.03473,69289.03473,-1693.699043,-1693.699043,-1693.699043,70982.73378,70982.73378,70982.73378,0,0,0,1385985.804
25-02-2019,1316759.077,1152211.45,1685104.176,1316759.077,1316759.077,97170.67074,97170.67074,97170.67074,23730.6029,23730.6029,23730.6029,73440.06784,73440.06784,73440.06784,0,0,0,1413929.747
26-02-2019,1316821.384,1103660.747,1613460.184,1316821.384,1316821.384,65377.55614,65377.55614,65377.55614,-9889.707126,-9889.707126,-9889.707126,75267.26326,75267.26326,75267.26326,0,0,0,1382198.941
27-02-2019,1316883.692,1124910.071,1661966.189,1316883.692,1316883.692,78660.53292,78660.53292,78660.53292,2216.315886,2216.315886,2216.315886,76444.21703,76444.21703,76444.21703,0,0,0,1395544.225
28-02-2019,1316946,1123567.273,1664700.242,1316946,1316946,74878.28326,74878.28326,74878.28326,-2083.262178,-2083.262178,-2083.262178,76961.54544,76961.54544,76961.54544,0,0,0,1391824.283
01-03-2019,1317008.308,1126633.51,1680280.97,1317008.308,1317008.308,76528.46897,76528.46897,76528.46897,-292.1125006,-292.1125006,-292.1125006,76820.58147,76820.58147,76820.58147,0,0,0,1393536.777
02-03-2019,1317070.615,1130836.56,1633426.593,1317070.615,1317070.615,64044.98338,64044.98338,64044.98338,-11988.13793,-11988.13793,-11988.13793,76033.12131,76033.12131,76033.12131,0,0,0,1381115.599
03-03-2019,1317132.923,1129771.318,1655789.12,1317132.923,1317132.923,72927.23254,72927.23254,72927.23254,-1693.699043,-1693.699043,-1693.699043,74620.93158,74620.93158,74620.93158,0,0,0,1390060.156
04-03-2019,1317195.231,1157619.551,1697617.223,1317195.231,1317195.231,96345.63841,96345.63841,96345.63841,23730.6029,23730.6029,23730.6029,72615.03551,72615.03551,72615.03551,0,0,0,1413540.87
05-03-2019,1317257.539,1128253.557,1621861.951,1317257.539,1317257.539,60165.09525,60165.09525,60165.09525,-9889.707126,-9889.707126,-9889.707126,70054.80238,70054.80238,70054.80238,0,0,0,1377422.634
06-03-2019,1317319.847,1132710.018,1660214.843,1317319.847,1317319.847,69203.18542,69203.18542,69203.18542,2216.315886,2216.315886,2216.315886,66986.86954,66986.86954,66986.86954,0,0,0,1386523.032
07-03-2019,1317382.155,1100739.732,1626340.906,1317382.155,1317382.155,61380.66848,61380.66848,61380.66848,-2083.262178,-2083.262178,-2083.262178,63463.93066,63463.93066,63463.93066,0,0,0,1378762.823
08-03-2019,1317444.463,1110913.417,1643037.719,1317444.463,1317444.463,59251.31429,59251.31429,59251.31429,-292.1125006,-292.1125006,-292.1125006,59543.42679,59543.42679,59543.42679,0,0,0,1376695.777
09-03-2019,1317506.77,1097781.298,1630569.887,1317506.77,1317506.77,43298.04089,43298.04089,43298.04089,-11988.13793,-11988.13793,-11988.13793,55286.17883,55286.17883,55286.17883,0,0,0,1360804.811
10-03-2019,1317569.078,1094765.351,1616728.37,1317569.078,1317569.078,49061.30164,49061.30164,49061.30164,-1693.699043,-1693.699043,-1693.699043,50755.00069,50755.00069,50755.00069,0,0,0,1366630.38
11-03-2019,1317631.386,1128789.005,1647596.915,1317631.386,1317631.386,69743.93484,69743.93484,69743.93484,23730.6029,23730.6029,23730.6029,46013.33194,46013.33194,46013.33194,0,0,0,1387375.321
12-03-2019,1317693.694,1095969.032,1618171.114,1317693.694,1317693.694,31234.21983,31234.21983,31234.21983,-9889.707126,-9889.707126,-9889.707126,41123.92695,41123.92695,41123.92695,0,0,0,1348927.914
13-03-2019,1317756.002,1087058.583,1639105.41,1317756.002,1317756.002,38363.95069,38363.95069,38363.95069,2216.315886,2216.315886,2216.315886,36147.6348,36147.6348,36147.6348,0,0,0,1356119.952
14-03-2019,1317818.31,1067446.326,1602243.679,1317818.31,1317818.31,29059.0383,29059.0383,29059.0383,-2083.262178,-2083.262178,-2083.262178,31142.30047,31142.30047,31142.30047,0,0,0,1346877.348
15-03-2019,1317880.617,1047607.529,1586250.569,1317880.617,1317880.617,25869.70052,25869.70052,25869.70052,-292.1125006,-292.1125006,-292.1125006,26161.81302,26161.81302,26161.81302,0,0,0,1343750.318
16-03-2019,1317942.925,1063696.062,1586023.452,1317942.925,1317942.925,9267.183185,9267.183185,9267.183185,-11988.13793,-11988.13793,-11988.13793,21255.32112,21255.32112,21255.32112,0,0,0,1327210.108
17-03-2019,1318005.233,1074560.753,1584198.35,1318005.233,1318005.233,14772.93143,14772.93143,14772.93143,-1693.699043,-1693.699043,-1693.699043,16466.63047,16466.63047,16466.63047,0,0,0,1332778.164
18-03-2019,1318067.541,1094670.578,1635546.386,1318067.541,1318067.541,35564.39415,35564.39415,35564.39415,23730.6029,23730.6029,23730.6029,11833.79125,11833.79125,11833.79125,0,0,0,1353631.935
19-03-2019,1318129.849,1036599.428,1564913.79,1318129.849,1318129.849,-2500.829629,-2500.829629,-2500.829629,-9889.707126,-9889.707126,-9889.707126,7388.877498,7388.877498,7388.877498,0,0,0,1315629.019
20-03-2019,1318192.157,1074558.94,1574365.512,1318192.157,1318192.157,5374.269836,5374.269836,5374.269836,2216.315886,2216.315886,2216.315886,3157.95395,3157.95395,3157.95395,0,0,0,1323566.426
21-03-2019,1318254.464,1036094.685,1578154.632,1318254.464,1318254.464,-2922.042138,-2922.042138,-2922.042138,-2083.262178,-2083.262178,-2083.262178,-838.7799596,-838.7799596,-838.7799596,0,0,0,1315332.422
22-03-2019,1318316.772,1057277.793,1591384.96,1318316.772,1318316.772,-4878.797463,-4878.797463,-4878.797463,-292.1125006,-292.1125006,-292.1125006,-4586.684963,-4586.684963,-4586.684963,0,0,0,1313437.975
23-03-2019,1318379.08,1047464.855,1559458.194,1318379.08,1318379.08,-20064.37428,-20064.37428,-20064.37428,-11988.13793,-11988.13793,-11988.13793,-8076.236348,-8076.236348,-8076.236348,0,0,0,1298314.706
24-03-2019,1318441.388,1045945.585,1583154.037,1318441.388,1318441.388,-12996.16174,-12996.16174,-12996.16174,-1693.699043,-1693.699043,-1693.699043,-11302.46269,-11302.46269,-11302.46269,0,0,0,1305445.226
25-03-2019,1318503.696,1043146.608,1581203.657,1318503.696,1318503.696,9466.306074,9466.306074,9466.306074,23730.6029,23730.6029,23730.6029,-14264.29682,-14264.29682,-14264.29682,0,0,0,1327970.002
26-03-2019,1318566.004,1019006.543,1564935.011,1318566.004,1318566.004,-26853.57606,-26853.57606,-26853.57606,-9889.707126,-9889.707126,-9889.707126,-16963.86893,-16963.86893,-16963.86893,0,0,0,1291712.428
27-03-2019,1318628.311,1037722.99,1577966.381,1318628.311,1318628.311,-17189.457,-17189.457,-17189.457,2216.315886,2216.315886,2216.315886,-19405.77289,-19405.77289,-19405.77289,0,0,0,1301438.854
28-03-2019,1318690.619,1035785.125,1566476.35,1318690.619,1318690.619,-23679.5987,-23679.5987,-23679.5987,-2083.262178,-2083.262178,-2083.262178,-21596.33652,-21596.33652,-21596.33652,0,0,0,1295011.021
29-03-2019,1318752.927,1043884.291,1568963.417,1318752.927,1318752.927,-23835.03811,-23835.03811,-23835.03811,-292.1125006,-292.1125006,-292.1125006,-23542.92561,-23542.92561,-23542.92561,0,0,0,1294917.889
30-03-2019,1318815.235,1012154.154,1562045.315,1318815.235,1318815.235,-37241.44694,-37241.44694,-37241.44694,-11988.13793,-11988.13793,-11988.13793,-25253.309,-25253.309,-25253.309,0,0,0,1281573.788
31-03-2019,1318877.543,1048139.084,1550542.97,1318877.543,1318877.543,-28428.80816,-28428.80816,-28428.80816,-1693.699043,-1693.699043,-1693.699043,-26735.10912,-26735.10912,-26735.10912,0,0,0,1290448.735
01-04-2019,1318939.851,1050099.351,1583896.08,1318939.851,1318939.851,-4264.755224,-4264.755224,-4264.755224,23730.6029,23730.6029,23730.6029,-27995.35812,-27995.35812,-27995.35812,0,0,0,1314675.095
02-04-2019,1319002.158,1030932.572,1555131.512,1319002.158,1319002.158,-38929.8825,-38929.8825,-38929.8825,-9889.707126,-9889.707126,-9889.707126,-29040.17537,-29040.17537,-29040.17537,0,0,0,1280072.276
03-04-2019,1319064.466,1038615.662,1552544,1319064.466,1319064.466,-27658.26052,-27658.26052,-27658.26052,2216.315886,2216.315886,2216.315886,-29874.57641,-29874.57641,-29874.57641,0,0,0,1291406.206
04-04-2019,1319126.774,1031480.644,1541743.983,1319126.774,1319126.774,-32585.68051,-32585.68051,-32585.68051,-2083.262178,-2083.262178,-2083.262178,-30502.41833,-30502.41833,-30502.41833,0,0,0,1286541.094
05-04-2019,1319189.082,1040918.8,1568705.517,1319189.082,1319189.082,-31218.59318,-31218.59318,-31218.59318,-292.1125007,-292.1125007,-292.1125007,-30926.48068,-30926.48068,-30926.48068,0,0,0,1287970.489
06-04-2019,1319251.39,1027207.211,1536399.182,1319251.39,1319251.39,-43136.81316,-43136.81316,-43136.81316,-11988.13793,-11988.13793,-11988.13793,-31148.67523,-31148.67523,-31148.67523,0,0,0,1276114.577
07-04-2019,1319313.698,1014346.495,1559240.568,1319313.698,1319313.698,-32864.07189,-32864.07189,-32864.07189,-1693.699043,-1693.699043,-1693.699043,-31170.37285,-31170.37285,-31170.37285,0,0,0,1286449.626
08-04-2019,1319376.005,1044327.372,1563457.316,1319376.005,1319376.005,-7262.227537,-7262.227537,-7262.227537,23730.6029,23730.6029,23730.6029,-30992.83043,-30992.83043,-30992.83043,0,0,0,1312113.778
09-04-2019,1319438.313,1013866.299,1543222.604,1319438.313,1319438.313,-40507.40398,-40507.40398,-40507.40398,-9889.707126,-9889.707126,-9889.707126,-30617.69685,-30617.69685,-30617.69685,0,0,0,1278930.909
10-04-2019,1319500.621,1017446.256,1552449.747,1319500.621,1319500.621,-27831.25726,-27831.25726,-27831.25726,2216.315886,2216.315886,2216.315886,-30047.57314,-30047.57314,-30047.57314,0,0,0,1291669.364
11-04-2019,1319562.929,1046033.608,1547816.17,1319562.929,1319562.929,-31369.86168,-31369.86168,-31369.86168,-2083.262178,-2083.262178,-2083.262178,-29286.5995,-29286.5995,-29286.5995,0,0,0,1288193.067
12-04-2019,1319625.237,1034387.271,1549935.058,1319625.237,1319625.237,-28633.15264,-28633.15264,-28633.15264,-292.1125006,-292.1125006,-292.1125006,-28341.04014,-28341.04014,-28341.04014,0,0,0,1290992.084
13-04-2019,1319687.545,1016918.118,1542811.558,1319687.545,1319687.545,-39207.97436,-39207.97436,-39207.97436,-11988.13793,-11988.13793,-11988.13793,-27219.83642,-27219.83642,-27219.83642,0,0,0,1280479.57
14-04-2019,1319749.852,1022685.605,1548260.38,1319749.852,1319749.852,-27628.79809,-27628.79809,-27628.79809,-1693.699043,-1693.699043,-1693.699043,-25935.09904,-25935.09904,-25935.09904,0,0,0,1292121.054
15-04-2019,1319812.16,1038674.893,1594826.029,1319812.16,1319812.16,-771.909081,-771.909081,-771.909081,23730.6029,23730.6029,23730.6029,-24502.51198,-24502.51198,-24502.51198,0,0,0,1319040.251
16-04-2019,1319874.468,1033604.183,1564436.37,1319874.468,1319874.468,-32831.33037,-32831.33037,-32831.33037,-9889.707126,-9889.707126,-9889.707126,-22941.62325,-22941.62325,-22941.62325,0,0,0,1287043.138
17-04-2019,1319936.776,1021101.893,1564273.351,1319936.776,1319936.776,-19059.68544,-19059.68544,-19059.68544,2216.315886,2216.315886,2216.315886,-21276.00133,-21276.00133,-21276.00133,0,0,0,1300877.091
18-04-2019,1319999.084,1049495.395,1556723.883,1319999.084,1319999.084,-21616.50264,-21616.50264,-21616.50264,-2083.262178,-2083.262178,-2083.262178,-19533.24047,-19533.24047,-19533.24047,0,0,0,1298382.581
19-04-2019,1320061.392,1048018.947,1576843.37,1320061.392,1320061.392,-18036.91584,-18036.91584,-18036.91584,-292.1125007,-292.1125007,-292.1125007,-17744.80334,-17744.80334,-17744.80334,0,0,0,1302024.476
20-04-2019,1320123.7,1042017.967,1539661.617,1320123.7,1320123.7,-27933.83314,-27933.83314,-27933.83314,-11988.13793,-11988.13793,-11988.13793,-15945.69521,-15945.69521,-15945.69521,0,0,0,1292189.866
21-04-2019,1320186.007,1043238.357,1555382.135,1320186.007,1320186.007,-15867.66886,-15867.66886,-15867.66886,-1693.699043,-1693.699043,-1693.699043,-14173.96982,-14173.96982,-14173.96982,0,0,0,1304318.338
22-04-2019,1320248.315,1070636.852,1600719.604,1320248.315,1320248.315,11260.52936,11260.52936,11260.52936,23730.6029,23730.6029,23730.6029,-12470.07353,-12470.07353,-12470.07353,0,0,0,1331508.845
23-04-2019,1320310.623,1036834.452,1564537.319,1320310.623,1320310.623,-20765.74736,-20765.74736,-20765.74736,-9889.707126,-9889.707126,-9889.707126,-10876.04024,-10876.04024,-10876.04024,0,0,0,1299544.876
24-04-2019,1320372.931,1040288.863,1599330.703,1320372.931,1320372.931,-7218.239845,-7218.239845,-7218.239845,2216.315886,2216.315886,2216.315886,-9434.55573,-9434.55573,-9434.55573,0,0,0,1313154.691
25-04-2019,1320435.239,1035155.91,1589296.409,1320435.239,1320435.239,-10271.1776,-10271.1776,-10271.1776,-2083.262178,-2083.262178,-2083.262178,-8187.915426,-8187.915426,-8187.915426,0,0,0,1310164.061
26-04-2019,1320497.547,1043310.476,1570503.619,1320497.547,1320497.547,-7469.016698,-7469.016698,-7469.016698,-292.1125006,-292.1125006,-292.1125006,-7176.904198,-7176.904198,-7176.904198,0,0,0,1313028.53
27-04-2019,1320559.854,1047950.216,1577235.109,1320559.854,1320559.854,-18427.76897,-18427.76897,-18427.76897,-11988.13793,-11988.13793,-11988.13793,-6439.631041,-6439.631041,-6439.631041,0,0,0,1302132.085
28-04-2019,1320622.162,1045313.321,1576770.533,1320622.162,1320622.162,-7704.053223,-7704.053223,-7704.053223,-1693.699043,-1693.699043,-1693.699043,-6010.35418,-6010.35418,-6010.35418,0,0,0,1312918.109
29-04-2019,1320684.469,1060587.748,1600276.75,1320684.469,1320684.469,17812.26878,17812.26878,17812.26878,23730.6029,23730.6029,23730.6029,-5918.334112,-5918.334112,-5918.334112,0,0,0,1338496.737
30-04-2019,1320746.775,1046715.107,1541208.901,1320746.775,1320746.775,-16076.45987,-16076.45987,-16076.45987,-9889.707126,-9889.707126,-9889.707126,-6186.752741,-6186.752741,-6186.752741,0,0,0,1304670.315
01-05-2019,1320809.081,1060442.154,1590378.199,1320809.081,1320809.081,-4615.420279,-4615.420279,-4615.420279,2216.315886,2216.315886,2216.315886,-6831.736165,-6831.736165,-6831.736165,0,0,0,1316193.661
02-05-2019,1320871.388,1038669.724,1583426.213,1320871.388,1320871.388,-9944.779058,-9944.779058,-9944.779058,-2083.262178,-2083.262178,-2083.262178,-7861.51688,-7861.51688,-7861.51688,0,0,0,1310926.608
03-05-2019,1320933.694,1048442.225,1585544.185,1320933.694,1320933.694,-9567.880621,-9567.880621,-9567.880621,-292.1125006,-292.1125006,-292.1125006,-9275.768121,-9275.768121,-9275.768121,0,0,0,1311365.813
04-05-2019,1320996,1048657.932,1538838.72,1320996,1320996,-23053.27684,-23053.27684,-23053.27684,-11988.13793,-11988.13793,-11988.13793,-11065.13891,-11065.13891,-11065.13891,0,0,0,1297942.723
05-05-2019,1321058.307,1040813.725,1575799.266,1321058.307,1321058.307,-14904.71219,-14904.71219,-14904.71219,-1693.699043,-1693.699043,-1693.699043,-13211.01315,-13211.01315,-13211.01315,0,0,0,1306153.594
06-05-2019,1321120.613,1063797.803,1591182.998,1321120.613,1321120.613,8045.092839,8045.092839,8045.092839,23730.6029,23730.6029,23730.6029,-15685.51006,-15685.51006,-15685.51006,0,0,0,1329165.706
